RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;CreateChildrenFeaturesWithGroup;CreateFeatureWithSubFeatures;ReplaceFeature;AddSiblingFeaturesWithGroup;Generalization_2-4;Generalization_2-5;Generalization_2-7;ExtractALTGroup;Refactoring_1-1;Refactoring_1-2;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-6;Refactoring_1-8;PushDownGroup;Specialization_3-2;Specialization_3-3;Specialization_3-4;Specialization_3-5;Specialization_3-6;Specialization_3-7;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];180/1;86/0;152/1;120/1;43/1;131/1;150/1;134/1;42/0;75/0;132/2;100/1;101/1;77/1;77/0;78/0;105/0;43/0;106/1;123/0;111/1;133/1;92/1;89/0;145/1;109/1;112/1;124/1;1/1;158/1;1/1;98/1;117/0;178/1;1/1;152/1;186/1;168/1;163/0;172/1;337/2;255/1;204/2;141/1;0/1;183/1;125/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];135/1;45/0;51/1;46/0;48/0;49/0;160/1;121/1;50/1;50/1;45/1;51/0;49/1;44/1;49/1;49/0;59/1;51/0;48/0;52/1;51/0;173/1;59/0;51/0;49/0;49/0;50/0;110/1;1/0;52/0;1/1;50/1;186/0;56/0;2/0;53/0;122/0;60/1;120/1;51/0;334/1;68/1;62/1;56/0;1/1;193/1;67/0;
setFeatureAbstract[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];91/1;48/0;45/0;43/1;43/0;43/1;43/1;40/1;43/0;41/0;41/1;44/0;46/0;47/0;45/0;43/0;46/0;47/1;52/0;50/0;48/1;49/0;48/0;50/0;48/1;61/0;47/0;45/0;1/0;50/1;1/0;48/0;49/0;52/0;1/0;48/0;58/0;53/0;50/1;47/1;48/0;50/0;52/0;52/0;1/0;50/1;48/0;
setFeatureMandatory[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];81/0;45/0;49/1;48/1;46/1;46/0;45/0;44/0;47/0;54/1;46/0;51/0;44/0;46/1;45/0;45/1;46/0;45/1;43/1;46/0;46/0;45/1;45/0;44/0;45/0;45/0;44/1;44/1;0/0;47/0;1/0;45/0;50/0;53/0;1/0;45/1;44/0;47/0;46/0;45/0;43/1;45/0;43/0;44/0;1/0;45/0;45/0;
mutuallyExchangeMandatoryAndOptional[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];71/0;65/1;44/0;44/0;44/0;45/0;50/1;49/0;48/1;49/1;45/0;46/0;45/0;46/0;44/1;43/0;44/0;42/0;45/0;51/0;45/0;44/1;44/0;45/0;41/1;44/0;43/0;46/0;1/0;45/0;1/0;48/1;52/0;51/0;1/0;52/0;52/0;50/0;57/0;49/0;49/1;50/0;55/0;49/1;0/1;48/0;50/0;
CreateChildrenFeaturesWithGroup[#LhsNode:2 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];81/1;49/0;51/0;51/1;58/1;59/0;52/0;52/1;52/0;57/1;55/0;52/0;50/0;53/0;53/0;47/0;51/1;49/0;51/0;50/0;53/0;53/0;78/0;62/0;50/0;48/0;49/0;49/0;1/0;50/0;1/0;50/0;49/0;51/0;1/0;48/0;49/0;47/0;49/0;46/0;48/0;50/0;48/0;47/0;0/1;47/0;48/0;
CreateFeatureWithSubFeatures[#LhsNode:2 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];81/0;49/0;49/0;51/0;49/0;50/0;50/0;50/1;48/1;49/0;47/0;49/1;49/0;48/0;52/0;47/1;49/1;51/0;49/1;58/0;51/1;52/1;54/0;56/0;60/0;58/0;55/0;55/0;1/0;54/0;1/0;53/0;56/1;55/0;1/0;55/0;54/0;54/0;58/1;56/1;63/0;61/1;59/0;56/0;1/0;62/0;59/0;
ReplaceFeature[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3];346/2;99/0;173/2;119/1;47/1;143/1;397/1;299/2;59/0;103/0;173/1;124/1;136/1;85/1;91/1;84/1;111/1;53/0;110/1;116/0;109/0;349/0;96/1;97/0;143/1;110/1;97/1;223/1;1/1;158/1;1/1;100/1;254/1;214/2;1/1;159/1;345/1;173/1;339/1;176/0;1082/3;239/1;215/2;149/1;0/3;576/3;155/1;
AddSiblingFeaturesWithGroup[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:0];1/0;1/0;0/0;0/1;0/0;1/0;1/0;1/0;1/0;0/0;2/0;1/0;0/0;1/0;1/0;1/0;1/0;0/0;1/0;1/0;0/0;1/0;1/0;1/0;0/1;0/0;1/0;1/0;0/0;1/0;1/0;1/0;1/0;0/1;0/1;0/0;0/0;1/1;0/0;1/0;1/0;0/0;1/0;1/0;1/0;1/0;0/1;
Generalization_2-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];117/0;71/1;52/0;51/1;46/0;49/1;50/0;53/0;49/0;48/0;49/1;49/0;49/0;49/1;48/0;66/0;50/0;54/0;48/1;55/0;43/0;47/0;47/1;46/0;48/0;47/0;46/0;46/0;0/1;45/1;0/1;49/1;46/0;49/0;0/0;46/0;46/0;46/1;48/0;47/1;66/1;50/0;48/1;46/1;0/0;47/0;46/0;
Generalization_2-5[#LhsNode:10 ,#LhsEdges:20 ,#deleteNodes:4 ,#deleteEdges:15];2/1;1/0;1/1;1/0;1/0;1/1;1/0;1/1;1/0;1/0;1/1;0/1;1/6;0/1;0/1;0/1;0/0;1/0;1/0;0/1;1/1;0/1;0/1;0/1;0/1;1/0;1/0;1/0;1/1;1/1;1/16;1/1;0/1;1/5;1/1;1/1;1/1;1/1;1/1;0/1;1/1;1/1;1/1;1/0;1/2;0/2;0/1;
Generalization_2-7[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];89/1;46/0;49/0;48/0;45/0;44/1;44/0;43/0;46/0;42/0;45/0;51/0;49/0;45/1;67/0;46/0;44/0;45/0;44/0;61/0;42/1;44/1;43/0;43/1;46/0;47/0;46/0;46/0;1/0;46/0;1/0;45/0;48/0;51/0;1/1;48/1;46/0;48/1;47/1;46/1;47/1;47/1;45/0;45/0;1/0;47/0;43/1;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Total run times [ms]- normal CPA: 0 essential CPA: 84843 atomic CPA: 726
