RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;PushDownGroup;Specialization_3-4;Specialization_3-6;
createRequireConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];103/86/0;89/38/0;62/37/0;52/40/0;51/40/0;51/36/0;52/43/0;59/41/0;55/37/0;64/45/0;68/43/0;62/45/0;98/45/0;59/43/0;63/50/0;63/42/0;57/41/0;57/44/0;61/43/0;60/42/0;63/41/0;70/41/0;58/48/0;62/41/0;74/41/0;58/44/0;60/41/1;60/44/0;65/56/0;80/40/0;55/46/1;61/44/0;56/43/0;59/42/0;59/42/0;58/43/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];197/117/1;109/51/1;163/106/1;133/70/1;59/50/1;167/134/1;194/66/1;173/108/1;58/44/0;110/49/0;176/106/1;132/54/1;121/58/1;93/49/0;112/57/0;127/54/0;138/82/1;57/42/0;142/61/0;139/67/0;160/77/1;169/76/0;102/47/0;102/47/0;153/109/1;137/75/1;167/94/1;175/67/1;197/169/1;235/142/1;227/139/1;189/115/1;205/126/1;538/333/2;236/133/1;326/170/2;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];203/71/1;61/51/1;84/46/0;67/55/1;71/43/0;75/45/0;194/130/1;135/78/0;58/58/1;49/40/0;65/43/0;52/47/0;55/43/0;51/39/1;74/38/0;49/39/0;51/39/0;66/53/0;55/52/0;50/45/0;51/48/0;170/134/1;68/63/0;55/51/0;57/45/1;134/70/1;54/44/0;211/161/1;76/83/0;56/54/0;156/86/0;64/59/0;64/49/0;388/202/1;72/69/0;240/131/1;
setFeatureAbstract[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];106/47/0;81/71/0;55/43/0;55/45/0;54/41/0;54/42/0;55/43/0;54/43/0;56/54/0;78/48/0;60/41/0;65/71/0;54/40/0;47/38/0;67/39/0;55/39/0;49/43/0;50/77/0;68/47/0;58/40/0;72/45/0;51/61/0;48/44/0;52/40/0;50/39/1;52/59/0;58/46/0;78/52/0;58/63/0;61/55/0;67/56/0;55/47/0;57/49/0;55/43/0;59/52/0;64/47/0;
setFeatureMandatory[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];120/46/0;64/47/0;54/44/0;54/44/0;66/42/0;56/43/0;73/45/0;63/44/0;57/65/0;54/56/0;52/41/0;56/55/0;55/46/0;52/42/0;52/42/1;65/46/0;56/41/0;50/41/0;52/40/0;51/43/0;49/40/0;49/40/0;49/39/0;50/50/0;49/39/0;65/43/0;55/45/0;50/46/0;50/39/0;50/39/0;52/52/0;48/62/0;50/40/0;65/65/0;60/69/0;57/42/0;
mutuallyExchangeMandatoryAndOptional[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];94/42/0;74/42/0;68/48/0;59/46/0;60/45/0;73/88/0;65/48/0;57/73/0;61/53/0;57/46/0;62/49/0;65/48/0;65/54/0;56/53/0;64/62/0;69/47/0;78/45/0;55/42/0;60/43/0;59/44/0;64/44/0;56/50/0;61/41/0;62/43/0;52/67/0;53/42/0;54/40/0;56/42/0;65/44/0;56/45/0;50/46/0;59/61/0;67/46/0;53/42/1;51/41/0;58/38/0;
ReplaceFeature[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3];325/243/1;113/67/0;168/107/1;180/131/1;61/57/0;196/127/1;421/222/1;340/258/1;65/50/0;138/62/0;165/106/1;142/57/1;127/56/1;118/47/0;138/55/0;140/51/0;143/88/0;77/48/0;167/69/0;156/97/0;145/88/0;473/180/0;139/54/0;138/52/1;166/99/1;253/150/1;170/105/0;266/118/0;203/118/1;158/99/0;351/328/3;235/164/1;295/175/1;1493/1015/4;204/95/1;645/667/2;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Total run times [ms]- normal CPA: 74634 essential CPA: 49741 atomic CPA: 236
