RUNTIME - essentialCPs[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;CreateChildrenFeaturesWithGroup;CreateFeatureWithSubFeatures;ReplaceFeature;Generalization_2-4;Generalization_2-7;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-6;Refactoring_1-8;Specialization_3-2;Specialization_3-3;Specialization_3-4;Specialization_3-6;
setFeatureAbstract[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];118/;64/;55/;55/;55/;58/;83/;60/;62/;52/;49/;58/;65/;46/;51/;48/;50/;50/;52/;47/;46/;56/;50/;62/;64/;56/;71/;59/;56/;54/;64/;55/;58/;53/;59/;52/;48/;50/;52/;57/;79/;
setFeatureMandatory[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];83/;51/;57/;57/;49/;57/;51/;53/;63/;52/;51/;49/;49/;60/;45/;52/;58/;46/;54/;47/;52/;47/;46/;59/;49/;49/;46/;53/;44/;53/;45/;43/;44/;51/;48/;54/;57/;68/;73/;74/;116/;
mutuallyExchangeMandatoryAndOptional[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];95/;67/;58/;54/;59/;60/;58/;54/;54/;62/;63/;48/;54/;54/;47/;48/;48/;55/;50/;49/;54/;46/;44/;48/;48/;48/;51/;64/;64/;62/;64/;48/;46/;50/;62/;47/;49/;50/;56/;53/;61/;
CreateChildrenFeaturesWithGroup[#LhsNode:2 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];88/;55/;53/;51/;58/;59/;57/;52/;50/;55/;52/;56/;58/;55/;56/;51/;55/;57/;57/;57/;56/;50/;53/;67/;55/;52/;59/;56/;53/;60/;60/;53/;51/;57/;52/;50/;68/;61/;59/;65/;65/;
CreateFeatureWithSubFeatures[#LhsNode:2 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];80/;50/;58/;63/;60/;67/;69/;60/;59/;56/;58/;56/;54/;64/;54/;65/;52/;53/;58/;59/;66/;60/;56/;50/;58/;51/;51/;48/;56/;61/;58/;62/;54/;53/;54/;54/;54/;62/;66/;80/;84/;
ReplaceFeature[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3];274/;65/;127/;80/;51/;100/;162/;303/;67/;57/;123/;86/;75/;79/;61/;60/;89/;45/;67/;76/;82/;180/;81/;64/;111/;63/;56/;165/;118/;66/;145/;156/;116/;306/;136/;274/;132/;192/;296/;182/;653/;
Generalization_2-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];105/;76/;51/;47/;50/;51/;53/;51/;49/;47/;55/;58/;65/;57/;57/;56/;54/;51/;59/;61/;57/;63/;60/;66/;107/;94/;110/;129/;98/;83/;113/;123/;80/;69/;54/;50/;47/;49/;56/;57/;54/;
Generalization_2-7[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];82/;56/;146/;518/;232/;95/;66/;58/;55/;51/;65/;47/;46/;47/;45/;49/;63/;71/;62/;53/;68/;54/;53/;61/;52/;49/;48/;51/;50/;49/;53/;56/;75/;54/;51/;49/;47/;54/;61/;54/;50/;
ExtractALTGroup[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5];87/;50/;48/;50/;51/;50/;55/;70/;54/;53/;51/;954/;82/;54/;55/;46/;49/;47/;55/;48/;49/;46/;47/;46/;47/;47/;48/;49/;49/;47/;971/;96/;62/;61/;51/;54/;53/;54/;53/;53/;52/;
Refactoring_1-1[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6];121/;53/;81/;64/;53/;68/;55/;82/;53/;46/;83/;55/;1068/;85/;66/;58/;62/;49/;52/;51/;64/;51/;51/;48/;71/;52/;50/;67/;85/;64/;54/;4931/;117/;115/;138/;107/;99/;101/;110/;110/;109/;
