RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];68/0;30/0;31/0;29/0;31/1;30/1;46/1;70/1;34/1;31/1;30/0;32/0;29/0;28/0;29/0;31/0;31/0;30/1;39/0;29/0;27/0;100/1;38/0;41/0;29/0;63/1;32/0;91/0;34/0;31/1;56/0;33/0;30/0;29/0;95/1;
setFeatureAbstract[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];48/1;28/1;27/0;87/0;28/0;27/0;29/0;30/0;38/0;29/0;31/0;28/1;30/0;30/0;39/0;32/0;32/0;35/0;33/0;31/0;100/0;31/0;98/0;32/0;31/0;30/0;33/0;42/0;35/0;43/0;34/0;33/0;42/0;34/0;36/0;
setFeatureMandatory[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];52/0;33/0;105/0;33/0;32/0;32/1;31/0;31/0;30/0;32/0;117/0;38/0;33/0;26/0;26/0;25/0;30/0;28/0;26/0;23/0;82/0;25/0;23/0;76/0;85/0;25/0;25/1;24/0;103/0;28/0;25/0;87/0;105/0;101/0;113/0;
mutuallyExchangeMandatoryAndOptional[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];53/0;39/0;145/0;155/0;33/0;31/0;28/0;30/0;27/0;28/0;161/0;29/0;28/0;26/0;134/0;27/0;27/0;27/0;26/0;27/0;158/0;29/0;27/0;114/0;164/0;29/0;155/0;28/0;170/0;166/0;163/0;189/0;185/0;180/0;190/0;
ReplaceFeature[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3];143/1;46/0;61/1;54/1;34/0;45/1;132/1;115/2;41/0;39/0;55/2;43/0;52/0;35/1;34/0;32/0;39/1;27/0;42/0;44/0;46/1;130/1;45/0;36/0;63/1;94/0;57/1;116/0;71/0;59/1;124/1;67/1;57/1;67/1;213/2;
Generalization_2-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];61/0;28/0;168/0;177/0;33/0;29/0;29/0;28/0;29/0;31/0;161/0;29/0;28/0;31/0;131/0;34/0;29/0;29/0;28/0;28/0;28/0;29/0;30/0;30/0;169/0;29/0;165/0;29/0;29/0;147/0;179/0;198/0;32/0;31/0;31/0;
ExtractALTGroup[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5];50/0;29/1;30/0;30/0;32/0;32/0;31/0;108/0;34/0;38/0;34/0;529/2;55/0;41/0;39/0;28/0;27/0;114/0;29/0;30/0;27/0;104/0;34/0;28/1;26/0;28/0;27/0;701/2;42/1;36/0;115/0;35/0;33/0;32/1;116/0;
Refactoring_1-1[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6];94/1;37/0;49/1;44/0;35/0;55/0;37/0;60/0;40/0;38/0;53/0;36/0;642/2;50/0;38/0;37/0;54/1;41/1;33/0;37/0;45/0;32/1;32/0;31/0;46/1;51/0;40/1;33/0;1777/2;62/1;53/1;53/1;52/0;53/1;75/1;
Refactoring_1-3[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];99/0;36/0;50/1;48/1;34/0;45/0;43/0;53/0;40/0;32/0;45/1;33/0;35/0;35/0;31/0;33/0;51/1;34/0;35/0;34/0;38/0;36/0;36/0;33/0;44/0;45/0;53/1;50/0;40/0;41/1;46/1;40/0;38/1;41/0;65/0;
Refactoring_1-4[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1];89/0;37/1;122/1;129/0;37/1;49/0;47/0;58/1;42/0;36/0;121/0;31/0;39/1;32/0;106/0;31/0;55/0;37/0;35/0;35/1;39/0;34/0;35/0;33/0;126/0;48/0;141/1;37/0;40/1;309/2;375/1;428/2;141/1;116/1;191/2;
Refactoring_1-5[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];370/1;131/0;371/1;461/1;99/0;140/0;102/0;198/1;124/1;111/0;367/1;125/0;53/1;32/0;108/0;31/0;46/0;33/0;32/1;32/1;37/0;34/0;31/1;32/0;124/0;51/1;138/0;35/1;42/1;119/0;122/0;118/1;39/0;38/0;57/1;
Refactoring_1-8[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];79/0;56/0;74/1;36/0;32/0;41/0;33/1;64/0;35/0;31/0;41/1;33/0;33/0;35/0;31/1;31/0;39/0;32/0;30/0;31/0;38/0;32/0;35/0;31/0;43/0;42/0;36/1;31/0;68/0;40/1;45/1;48/0;44/0;48/0;62/0;
Specialization_3-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];58/0;30/0;189/0;40/0;36/0;36/0;36/0;36/0;37/0;40/0;187/0;35/0;37/0;35/0;34/0;35/0;35/0;35/0;37/0;51/0;204/0;39/0;38/0;156/0;194/0;34/0;33/0;33/0;207/0;34/0;33/0;198/0;182/0;178/0;185/0;
Specialization_3-6[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2];83/0;65/0;56/0;33/0;32/0;49/1;50/1;50/0;33/1;34/0;35/1;35/0;33/0;34/1;39/0;44/1;39/0;36/0;36/0;35/0;36/0;351/1;74/0;36/0;40/0;55/0;35/0;126/0;46/0;43/0;55/0;42/0;35/0;38/0;57/1;
Total run times [ms]- normal CPA: 0 essential CPA: 61739 atomic CPA: 308
