RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
setFeatureMandatory[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];50/1;27/0;93/0;27/0;24/0;26/0;29/0;27/0;27/0;28/0;93/0;27/0;27/0;29/0;26/1;26/0;28/0;28/0;28/0;26/0;94/0;26/0;26/0;83/0;92/0;27/0;28/0;27/0;121/0;29/0;28/0;100/0;119/0;109/0;119/0;
mutuallyExchangeMandatoryAndOptional[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];43/0;37/0;129/0;153/1;28/0;26/0;26/0;26/0;27/0;27/0;137/0;27/0;28/0;41/0;123/0;32/0;32/0;30/0;32/0;31/0;166/0;32/0;32/0;126/0;173/0;38/0;181/0;38/1;203/0;172/0;168/0;178/0;187/0;151/0;163/0;
ReplaceFeature[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3];101/1;38/0;64/1;63/0;28/0;49/1;65/1;84/1;34/0;36/0;52/1;46/1;48/1;34/0;35/0;34/0;57/0;30/0;47/0;50/0;77/1;82/0;52/0;42/0;61/1;137/1;81/1;64/0;83/0;49/1;89/1;62/0;56/0;65/1;159/3;
Generalization_2-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];71/0;34/0;177/0;185/0;34/0;36/0;32/0;33/0;31/0;33/0;168/0;31/0;31/0;29/0;135/0;30/0;29/0;29/0;29/0;29/0;30/0;28/0;31/1;29/1;180/0;32/0;175/0;31/0;30/0;152/0;160/0;181/0;40/0;34/0;37/0;
ExtractALTGroup[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5];53/0;34/0;32/0;35/0;33/0;35/0;34/1;111/0;35/0;33/0;35/0;340/2;50/0;38/0;36/0;29/0;28/0;96/0;28/0;30/0;28/0;98/0;28/0;28/0;28/0;29/0;30/0;473/3;31/0;30/0;120/0;38/0;38/0;32/0;115/0;
Refactoring_1-1[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6];85/1;37/0;56/0;80/0;38/0;55/1;38/0;70/1;37/0;32/0;51/1;37/0;415/2;48/0;33/0;33/0;76/1;38/0;32/1;32/0;76/1;30/0;25/0;25/0;39/1;67/1;33/1;27/0;1417/2;48/0;48/0;49/1;46/0;47/0;61/0;
Refactoring_1-3[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];70/0;27/0;53/1;42/0;31/0;42/0;31/1;49/0;31/0;31/0;43/1;32/1;31/0;30/0;31/0;32/0;43/0;33/0;30/1;32/0;67/1;32/0;34/0;32/0;43/0;43/1;52/0;35/0;38/0;36/1;45/0;36/1;37/0;36/0;54/0;
Refactoring_1-4[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1];74/0;33/0;109/0;130/1;31/0;42/0;36/0;51/1;34/0;31/0;113/0;33/1;34/0;37/0;116/0;35/0;47/0;46/1;43/1;47/0;56/0;44/0;36/0;40/0;130/0;91/1;150/1;36/0;37/0;104/0;119/1;121/0;40/0;38/1;59/0;
Refactoring_1-5[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];73/0;34/0;107/0;116/1;34/0;41/0;34/0;52/0;37/1;31/0;124/1;40/1;37/0;38/0;111/0;36/1;47/1;37/0;36/0;37/0;71/0;40/1;31/0;31/0;126/0;43/0;134/0;31/0;38/1;120/1;111/0;113/0;36/0;36/0;60/1;
Refactoring_1-8[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];81/0;53/0;63/0;74/0;31/0;39/1;30/0;48/1;31/0;29/1;40/0;29/0;29/0;29/0;28/0;30/0;38/0;29/0;28/0;32/0;39/0;29/0;29/0;29/0;42/0;47/0;32/1;28/0;54/0;35/1;44/0;42/0;41/0;46/0;60/0;
Specialization_3-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];56/0;29/0;166/0;29/1;28/0;35/1;35/0;33/0;33/0;31/0;183/0;33/0;32/0;32/0;32/0;32/0;34/0;37/0;32/0;36/0;197/0;36/0;34/0;153/0;215/0;34/0;34/0;34/0;207/0;36/0;33/0;197/0;191/0;182/0;189/0;
Specialization_3-6[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2];84/0;64/0;54/0;34/0;33/1;34/0;43/0;46/0;32/0;32/0;33/0;32/0;32/0;33/0;32/0;32/0;32/0;33/0;32/0;32/0;37/0;121/0;49/1;39/0;39/0;46/1;32/1;70/0;34/0;32/1;49/1;35/0;34/0;35/0;59/1;
