D-U-CONFLICTS - essentialCPs / conflictAtoms / Candidates / Minimal Reasons;addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-5;Refactoring_1-8;PushDownGroup;Specialization_3-4;Specialization_3-6;
deleteExcludeConstraint_IN_FeatureModel;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
deleteRequireConstraint_IN_FeatureModel;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
setFeatureConcrete;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
setFeatureOptional;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
createAbstractFeature_IN_Feature;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
deleteAbstractFeature_IN_Feature;1/1/3/1;1/1/1/1;2/2/3/1;0/1/2/1;0/0/0/0;2/2/3/2;1/1/3/1;0/0/0/0;1/1/1/1;2/2/3/1;0/0/2/0;0/0/2/0;1/1/1/1;1/1/1/1;1/1/1/1;1/1/2/1;0/0/0/0;2/2/2/2;2/2/2/2;0/1/2/1;0/1/1/1;1/1/1/1;2/2/3/1;0/0/2/0;2/2/3/1;0/0/2/0;0/0/3/0;1/1/3/1;1/1/3/1;1/2/3/2;0/0/5/0;2/2/3/1;0/0/4/0;
changeGroupFromORtoALT;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
createExcludeConstraint_IN_FeatureModel;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
createRequireConstraint_IN_FeatureModel;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
deleteConcreteFeature_IN_Feature;1/1/3/1;1/1/1/1;1/2/3/1;0/1/2/1;0/0/0/0;1/2/3/2;1/1/3/1;0/0/0/0;1/1/1/1;1/2/3/1;0/0/2/0;0/0/2/0;0/1/1/1;0/1/1/1;1/1/1/1;0/1/2/1;0/0/0/0;2/2/2/2;2/2/2/2;1/1/2/1;1/1/1/1;1/1/1/1;1/2/3/1;0/0/2/0;0/2/3/1;0/0/2/0;0/0/3/0;0/1/3/1;0/1/3/1;1/2/3/2;0/0/5/0;2/2/3/1;0/0/4/0;
setFeatureAbstract;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
setFeatureMandatory;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
mutuallyExchangeMandatoryAndOptional;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
ReplaceFeature;3/2/3/2;1/1/1/1;2/2/3/1;1/1/2/1;0/0/0/0;2/2/3/2;3/2/3/2;0/0/0/0;1/1/1/1;2/2/3/1;0/0/2/0;0/0/2/0;1/1/1/1;1/1/1/1;1/1/1/1;1/1/2/1;0/0/0/0;2/2/2/2;2/2/2/2;1/1/2/1;1/1/1/1;1/1/1/1;2/2/3/1;1/1/2/1;2/2/3/1;0/0/2/0;0/0/3/0;1/1/3/1;1/1/3/1;1/2/3/2;4/4/5/1;2/2/3/1;3/3/4/1;
Generalization_2-4;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
ExtractALTGroup;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
Refactoring_1-1;2/2/2/1;0/0/0/0;1/2/2/1;0/1/1/1;0/0/0/0;1/1/1/1;2/2/2/1;0/0/0/0;0/0/0/0;1/2/2/1;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;1/2/2/1;1/1/1/1;0/2/2/1;0/0/0/0;4/3/3/2;0/2/2/2;1/2/2/2;1/1/1/1;4/4/4/1;2/2/2/1;3/3/3/1;
Refactoring_1-3;2/2/2/1;0/0/0/0;1/2/2/1;1/1/1/1;0/0/0/0;1/1/1/1;2/2/2/1;0/0/0/0;0/0/0/0;1/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;0/1/1/1;0/0/0/0;0/0/0/0;1/2/2/1;1/1/1/1;2/2/2/1;0/0/0/0;0/2/2/1;0/2/2/2;0/2/2/2;0/1/1/1;4/4/4/1;0/2/2/1;2/3/3/1;
Refactoring_1-5;2/2/2/1;0/0/0/0;1/2/2/1;1/1/1/1;0/0/0/0;1/1/1/1;2/2/2/1;0/0/0/0;0/0/0/0;1/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;0/1/1/1;0/0/0/0;0/0/0/0;1/2/2/1;1/1/1/1;2/2/2/1;0/0/0/0;0/2/2/1;1/2/2/2;0/2/2/2;0/1/1/1;4/4/4/1;0/2/2/1;2/3/3/1;
Refactoring_1-8;2/2/2/1;0/0/0/0;1/2/2/1;0/1/1/1;0/0/0/0;1/1/1/1;2/2/2/1;0/0/0/0;0/0/0/0;1/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;1/2/2/1;1/1/1/1;0/2/2/1;0/0/0/0;2/2/2/1;0/2/2/2;1/2/2/2;1/1/1/1;4/4/4/1;2/2/2/1;3/3/3/1;
PushDownGroup;2/8/8/4;0/0/0/0;6/4/4/1;2/2/2/1;0/0/0/0;4/2/2/1;8/8/8/4;0/0/0/0;0/0/0/0;6/4/4/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;6/4/4/1;2/6/6/4;6/4/4/1;6/4/4/1;6/4/4/1;6/4/4/2;4/4/4/2;4/2/2/1;20/24/24/10;6/4/4/1;12/14/14/4;
Specialization_3-4;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
Specialization_3-6;0/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/2/2/2;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/8/8/5;0/0/0/0;0/4/4/2;
